název,url,herci
Perníkový táta,https://www.csfd.cz/film/237486-pernikovy-tata/,
Kmotr,https://www.csfd.cz/film/285191-kmotr/,
Chalífát,https://www.csfd.cz/film/810920-chalifat/,
Most,https://www.csfd.cz/film/305322-most/,
Stranger Things,https://www.csfd.cz/film/430582-stranger-things/,
The Wire - Špína Baltimoru,https://www.csfd.cz/film/70594-the-wire-spina-baltimoru/,
Temný případ,https://www.csfd.cz/film/328992-temny-pripad/,
La casa de papel (Antena 3 version),https://www.csfd.cz/film/815984-la-casa-de-papel-antena-3-version/,
MINDHUNTER: Lovci myšlenek,https://www.csfd.cz/film/30196-mindhunter-lovci-myslenek/,
Modrooký samuraj,https://www.csfd.cz/film/1424395-modrooky-samuraj/,
Neporazitelný,https://www.csfd.cz/film/930640-neporazitelny/,
Dexter,https://www.csfd.cz/film/224291-dexter/,
Death Note - Zápisník smrti,https://www.csfd.cz/film/227201-death-note-zapisnik-smrti/,
Viva La Dirt League,https://www.csfd.cz/film/575311-viva-la-dirt-league/,
The Punisher,https://www.csfd.cz/film/439777-the-punisher/,
Fauda,https://www.csfd.cz/film/4287-fauda/,
Papírový dům (Netflix verze),https://www.csfd.cz/film/525549-papirovy-dum-netflix-verze/,
Ve jménu vlasti,https://www.csfd.cz/film/291496-ve-jmenu-vlasti/,
Gomora,https://www.csfd.cz/film/361911-gomora/,
Daredevil,https://www.csfd.cz/film/370706-daredevil/,
Černé zrcadlo,https://www.csfd.cz/film/214772-cerne-zrcadlo/,
Odloučení,https://www.csfd.cz/film/987636-odlouceni/,
Úlovek,https://www.csfd.cz/film/283301-ulovek/,
Le Bureau des Légendes,https://www.csfd.cz/film/24985-le-bureau-des-legendes/,
Luther,https://www.csfd.cz/film/274781-luther/,
Narcos: Mexiko,https://www.csfd.cz/film/638209-narcos-mexiko/,
Nevina,https://www.csfd.cz/film/834883-nevina/,
Babylon Berlín,https://www.csfd.cz/film/471474-babylon-berlin/,
Boku dake ga inai mači,https://www.csfd.cz/film/338504-boku-dake-ga-inai-maci/,
Vis a vis (Netflix verze),https://www.csfd.cz/film/882491-vis-a-vis-netflix-verze/,
Ze Země na Měsíc,https://www.csfd.cz/film/69557-ze-zeme-na-mesic/,
Kdysi dávno v Americe,https://www.csfd.cz/film/1519996-kdysi-davno-v-americe/,
Andor,https://www.csfd.cz/film/687415-andor/,
Ripley,https://www.csfd.cz/film/790720-ripley/,
Policejní odznak,https://www.csfd.cz/film/70084-policejni-odznak/,
Zadáno pro Alfreda Hitchcocka,https://www.csfd.cz/film/70445-zadano-pro-alfreda-hitchcocka/,
Pád,https://www.csfd.cz/film/321550-pad/,
Vražda,https://www.csfd.cz/film/252824-vrazda/,
24 hodin: Dnes neumírej,https://www.csfd.cz/film/310920-24-hodin-dnes-neumirej/,
Kókaku kidótai: Stand Alone Complex,https://www.csfd.cz/film/141098-kokaku-kidotai-stand-alone-complex/,
Pěreval Ďatlova,https://www.csfd.cz/film/976157-pereval-datlova/,
Vis a vis (Antena 3 / Fox verze),https://www.csfd.cz/film/68258-vis-a-vis-antena-3-fox-verze/,
Spy × Family,https://www.csfd.cz/film/1109804-spy-x-family/,
The Twilight Zone,https://www.csfd.cz/film/70006-the-twilight-zone/,
Oz,https://www.csfd.cz/film/69296-oz/,
Volavka,https://www.csfd.cz/film/1164571-volavka/,
Steins;Gate,https://www.csfd.cz/film/294167-steins-gate/,
Mr. Robot,https://www.csfd.cz/film/409508-mr-robot/,
Mušiši,https://www.csfd.cz/film/223320-musisi/,
Monster,https://www.csfd.cz/film/223318-monster/,
Carnivale,https://www.csfd.cz/film/72923-carnivale/,
Zlé sestry,https://www.csfd.cz/film/1218119-zle-sestry/,
Line of Duty,https://www.csfd.cz/film/320721-line-of-duty/,
Dallas 63,https://www.csfd.cz/film/55031-dallas-63/,
Hatufim,https://www.csfd.cz/film/335871-hatufim/,
Království zombie,https://www.csfd.cz/film/495787-kralovstvi-zombie/,
Pluk mizerů,https://www.csfd.cz/film/1166469-pluk-mizeru/,
Wallander,https://www.csfd.cz/film/255630-wallander/,
Tokyo Vice,https://www.csfd.cz/film/782129-tokyo-vice/,
Ozark,https://www.csfd.cz/film/516177-ozark/,
Psycho-Pass,https://www.csfd.cz/film/325426-psycho-pass/,
Starosta Kingstownu,https://www.csfd.cz/film/1076848-starosta-kingstownu/,
Batman,https://www.csfd.cz/film/170523-batman/,
Bodyguard,https://www.csfd.cz/film/646934-bodyguard/,
Westworld,https://www.csfd.cz/film/395723-westworld/,
Romanzo criminale - La serie,https://www.csfd.cz/film/293695-romanzo-criminale-la-serie/,
Top Boy,https://www.csfd.cz/film/306067-top-boy/,
